id,name,explanation
d8ab7453-f24a-4813-a3bb-428bcf1ce75d,Acrylates/Methoxy Peg-15 Methacrylate Copolymer,A PEG-modified acrylic polymer used as a film former and thickener. Not a sensitizer.
8ba0f07e-a4a2-4a9e-b836-b7b5d8d495cb,Acrylates/Polytrimethylsiloxymethacrylate Copolymer,A silicone-acrylic film-forming polymer used in long-wear makeup. Inert; not a sensitizer.
3a94ddea-0878-453c-a560-ae5588e75214,Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer,A hybrid silicone-acrylic polymer used as a film former and texture modifier in long-wear and waterproof makeup. Inert on skin; not a sensitizer.
6c70c602-bd4c-43b2-b2b4-38b8e6552d7d,Acrylonitrile,A monomer found in some polymer systems in finished cosmetics (as part of a copolymer). In cured polymer form it is inert. Not a sensitizer at finished-product concentrations.
768ba20e-bb7e-4997-a759-bbffc28950fd,Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,A hollow microsphere polymer used to create lightweight textures in makeup. Inert; not a sensitizer.
e2b142a2-55be-4525-8a87-8351b96267ae,Actinidia Chinensis (Kiwi) Fruit Extract,Kiwi fruit extract — antioxidant-rich with vitamin C. Well-tolerated.
cc67db0d-c6b2-425b-9413-6a79bdc69d01,Adenosine,"A nucleoside naturally found in all living cells. In skincare, it functions as an anti-aging active that may help reduce the appearance of fine lines and improve skin elasticity. Well-tolerated and non-sensitizing; no reactivity concerns."
b637e6c0-8d35-457f-8815-fbff0485ca74,Alanine,A non-essential amino acid used as a skin conditioner. Well-tolerated.
c376db7a-3cb7-4040-b048-15474097335b,Alaria Esculenta Extract,Wakame seaweed extract — antioxidant and soothing. Well-tolerated.
ab8f80be-205d-408c-bfbb-37f72ec472c6,Alchemilla Vulgaris Extract,Lady's mantle extract — astringent and anti-inflammatory with tannins. Well-tolerated.
84961bdc-84ed-4ef5-9801-4b11e0baeae8,Aleurites Moluccana Seed Oil,"Kukui nut oil — lightweight, high in linoleic and alpha-linolenic acids. Used for centuries in Hawaiian skincare for dry and reactive skin. Well-tolerated."
8f343b5b-6299-413c-abb8-39ab443396f9,algae extract,"A generic term for seaweed-derived extracts with humectant, soothing, and antioxidant properties. The specific algae varies. Generally well-tolerated."
6cd620f1-b4f2-45f0-b6d0-406ccb1f8c64,Algin,Sodium alginate (algae-derived) thickener and film former. Very gentle; used in peel-off masks. Well-tolerated.
e8ad003b-7dc7-4501-9fb8-514bd15d9f7a,Allantoin,"A soothing, skin-conditioning ingredient derived from comfrey root (or synthesized) that calms irritated skin, supports cell turnover, and reduces hypersensitivity. It's essentially an anti-inflammatory workhorse — one of the most universally tolerated ingredients in skincare and an excellent choice for reactive skin that needs calming without challenge."
d4ddd537-1b9b-42d9-90c8-052fa1d356fa,Aloe Barbadensis Flower Extract,"Aloe vera flower extract — distinct from aloe vera leaf, lacks the aloin that causes sensitivity in some. Soothing. Well-tolerated."
11b2cbba-3db1-43d5-ad87-64082bb1435b,Althaea Rosea Flower Extract,Hollyhock flower extract — contains mucilages with soothing and emollient properties. Well-tolerated.
7e6cb0d6-4940-46e8-b91a-517507f86967,Alumina,Aluminum oxide — used in cosmetics as a surface coating for pigments (improves dispersion and feel) and occasionally as a mild abrasive. Inert and non-sensitizing as used in makeup and skincare.
00a260ba-ff3c-4da1-b9dd-7eff25eb3648,Aluminum Dimyristate,A metal soap thickener used in anhydrous formulas like stick products and oil-based sunscreens. Inert; not a sensitizer.
54b6bcc5-6de8-44fd-8da5-ae8c5d054c34,Aluminum Hydroxide,"Used in cosmetics primarily as a surface coating for titanium dioxide and iron oxide pigments, improving their dispersibility and feel. Also a mild alkaline pH buffer. Inert and non-sensitizing as used in cosmetics."
924357d4-b306-44bc-b2f9-010523a4df5b,Aluminum ­Hydroxide,Coating agent for mineral pigments. Inert in cosmetics.
51e11911-f431-4672-8665-0da0288718e2,Aluminum Starch Octenylsuccinate,A starch-based absorbent and anti-caking agent. Inert; not a sensitizer.
487b489a-ee72-4edc-bb64-30fc4b1f43c4,Aluminum ­Starch ­Octenylsuccinate,A starch derivative used as an absorbent and anti-caking agent in powder makeup. Inert; not a sensitizer.
683a36ef-c410-4686-8214-3b3e5e4032bd,Amber Powder,Fossilized tree resin ground into a fine powder. Used in makeup formulas as a texture modifier with soft-focus properties. Inert; not a sensitizer.
57b6f4bf-71ef-4653-926f-af31593106eb,Aminomethyl Propanol,An alkanolamine used to neutralize acidic polymers and adjust pH. Well-tolerated at cosmetic use levels.
503ab091-4dee-45c1-b363-a57886950ecc,Ammonium Acryloyldimethyltaurate/VP Copolymer,"A synthetic polymer used as a thickener and stabilizer in emulsions and gels — helps formulas hold their texture under varying temperature, pH, and electrolyte conditions. No active skin effects and no sensitization concerns; a purely functional texture ingredient."
23cc1686-d97f-4001-9b91-d7ece19dd38b,Ammonium Polyacryloyldimethyl Taurate,A synthetic polymer thickener used in gel and emulsion formulas. Provides excellent texture stability across a wide pH range. Not a sensitizer.
5765efdc-4d03-440f-9635-eec50b1f1a4e,Amodimethicone,An amino-functional silicone used as a conditioning agent. Adheres well to skin and hair. Well-tolerated.
2aa1821c-f2f7-4e6a-95cb-eeeb592112fb,Ananas Sativus (Pineapple) Fruit Extract,"Pineapple fruit extract — contains bromelain enzyme with mild exfoliating properties. At extract concentrations, well-tolerated."
d2587d97-98c2-41f1-aaff-dfea428d3433,Angelica Archangelica Root Extract,Angelica root extract — antioxidant and skin-conditioning. Well-tolerated at extract concentrations.
37feb18b-b8f5-466d-9935-b6ee05dde85c,Anhydroxylitol,A sugar-derived humectant (part of the aquaxyl complex with xylitol and xylitylglucoside). Helps reinforce the skin's water-holding capacity. Very well-tolerated.
b91d7d33-afed-454b-8668-4554b7eb6674,Aqua,The INCI name for water — the base solvent for virtually all water-phase skincare formulas. Water itself has no skin concerns; the other ingredients dissolved in it are what matter.
27320478-5892-456f-a4e2-e77e13672a2a,Aqua/Water/Eau,Water — the universal solvent and base of most aqueous formulas. Inert.
1ba9119f-e96e-4060-831d-30ee93dd2fa2,Arachidyl Alcohol,A C20 fatty alcohol used as an emollient and thickener. Very gentle; compatible with sensitive-skin formulas.
850653dc-9469-4ce9-bddd-21d490e4f225,Arachidyl Glucoside,A plant-derived glucoside emulsifier made from arachidyl alcohol and glucose. Gentle and compatible with sensitive-skin formulas.
3dd17d2b-6bf5-4553-afee-38b29002a142,Arbutin,A glycosylated hydroquinone derivative used for brightening. Flagged: arbutin hydrolyzes to hydroquinone in skin and shares its photosensitivity concern — sun exposure while using it can cause paradoxical darkening. Use with SPF; avoid in morning routines without sun protection.
3dd2e689-939d-4b9e-96e8-e020cd4f5627,Argania Spinosa Kernel Oil,"Argan oil — a lightweight, high-oleic oil rich in vitamin E and fatty acids. Absorbs well, leaves a light skin feel, and supports barrier function. Well-tolerated; not a sensitizer. A reliable emollient for reactive skin."
4fc3b4e3-9d82-4410-a0ff-c745694ac478,Arginine,A semi-essential amino acid used in cosmetics as a skin-conditioning agent and pH adjuster (alkaline). Naturally found in the skin's natural moisturizing factor (NMF). Very well-tolerated; not a sensitizer.
031e8abd-c413-4f53-ab7b-d4f0c1cde924,Arginine HCl,Arginine hydrochloride — a salt form of the amino acid arginine used as a pH buffer and conditioner. Well-tolerated.
4c3e0a8b-cfd9-4e31-873a-b7b54440a233,Arrowroot,Arrowroot powder — a starch used as an absorbent and texture modifier in powder formulas. Very gentle; not a sensitizer.
762afaca-a544-476f-bb81-498dd28fe351,Artemisia Annua Extract,Sweet wormwood extract — antimicrobial and anti-inflammatory. Used in calming formulas. Well-tolerated.
7b03192c-08f8-4007-9907-ceaa90c5a44c,Artemisia Capillaris Extract,Yin chen artemisia extract — anti-inflammatory and antioxidant botanical from Traditional Chinese Medicine. Well-tolerated.
88f7464c-811f-4d91-b457-a34c11f0ea7a,Artemisia Princeps Extract,"Japanese mugwort extract — a calming, anti-inflammatory botanical widely used in Korean skincare for reactive and eczema-prone skin. Very well-tolerated."
c2749d8f-3116-4066-85f5-a2f9de9e7609,Artemisia Princeps Leaf Extract,Mugwort leaf extract — calming and anti-inflammatory. Well-tolerated.
e43fb576-8b70-4241-be4d-53587ef12e04,Artemisia Princeps Leaf Powder,"Mugwort leaf powder — calming, anti-inflammatory; popular in Korean skincare. Well-tolerated."
cdc814c0-119f-4869-bef4-108349c60c39,Artemisia Vulgaris Extract,Mugwort extract — calming and anti-inflammatory; popular in Korean skincare for reactive skin. Very well-tolerated.
de3405f8-ed26-41c7-8488-d8a54a5454ed,Ascorbic Acid,"Pure Vitamin C (L-ascorbic acid) — the most potent and well-studied form for brightening, collagen support, and antioxidant protection. Can cause tingling in reactive skin at higher concentrations (≥10%); start with lower percentages (5–8%) for sensitive skin. Very beneficial when tolerated."
3dcda962-6c80-4d56-869f-e6e74dcbd54c,Ascorbyl Palmitate,"A fat-soluble ester of Vitamin C (ascorbic acid) and palmitic acid. Antioxidant that helps protect formula ingredients and skin from oxidative damage. Less irritating than pure ascorbic acid, though also less potent for brightening. Well-tolerated."
704781e9-4b34-4417-a09a-3cf9e763588f,Asiatic Acid,"A triterpene acid from centella asiatica — one of the four key CICA actives. Supports collagen synthesis, barrier repair, and has anti-inflammatory properties. Very well-tolerated; specifically studied for sensitive and compromised skin."
01129dff-4d97-4a20-baf2-52d294cac5e0,Asiatic Pennywort Extract,"Centella asiatica (CICA) — a highly effective skin barrier repair and anti-inflammatory botanical. Asiaticoside, madecassoside, and other CICA compounds are specifically studied for reactive and compromised skin."
aac19ab8-6707-4d9b-b8e4-a2d4fe75699f,Asiaticoside,A triterpene saponin from centella asiatica — one of the key active compounds responsible for centella's wound-healing and skin barrier-repair properties. Stimulates collagen synthesis and calms inflammation. Very well-tolerated; specifically studied for sensitive and post-procedure skin.
2f0346df-20c6-49a4-b17f-a8cffcbd757e,Aspalathus Linearis Leaf Extract,Rooibos extract — rich in aspalathin and other antioxidants. Soothing. Well-tolerated.
330412a8-6a96-41cd-85ab-2a1c16ab4c84,Astaxanthin,A marine carotenoid antioxidant from microalgae. Among the most potent antioxidants available. Well-tolerated.
c2599f8c-b6bb-4cb0-932e-12979de97892,Avena Sativa (Oat) Kernel Extract,"Oat kernel extract — contains avenanthramides and beta-glucan with soothing, anti-itch properties. Excellent for sensitive skin."
71dacf56-79a6-4b9f-9d49-2937e781cf60,Avena Sativa (Oat) Kernel Flour,Finely milled oat flour — gentle physical texture agent with soothing properties. Well-tolerated.
a3e220a0-7e6f-4c63-8b10-33ad61d34872,Avena Sativa (Oat) Kernel Oil,Oat kernel oil — rich in linoleic acid and avenanthramides. Soothing and emollient. Excellent for sensitive skin.
abb64cd8-5a12-4539-8b3b-26608b0d2446,Avena Sativa (Oat) Seed Water,"Water extracted from oat seeds, rich in beta-glucan and avenanthramides — compounds with well-documented anti-inflammatory and barrier-supportive effects specifically researched for eczema-prone and reactive skin. One of the gentler ways to get oat benefits into a formula. Safe for this skin."
421d08ed-4174-4113-9e75-e33d074b2325,Avena Sativa Kernel Extract,"Oat kernel extract — contains beta-glucan, avenanthramides, and other soothing compounds. Among the best-documented soothing actives for reactive, eczema-prone skin. Very well-tolerated."
ce8bef95-be30-4e6e-9d91-1b9643ea2ecd,Avena Sativa Meal Extract,Oat meal extract — one of the best-documented soothing actives for reactive and eczema-prone skin. Very well-tolerated.
0ae1607e-40b9-43e5-8c03-18f8d6bc3778,Azelaic Acid,"A naturally occurring acid (found in grains) that targets hyperpigmentation, acne bacteria, and rosacea simultaneously — with a significantly gentler irritation profile than stronger exfoliating acids. Some people feel a brief tingling or mild flushing when first starting it; this usually settles within a couple of weeks and is distinct from the stinging reaction this skin has to harsher actives."
f0ac441e-9d29-4d4d-ba21-1591f14a259f,Bakuchiol,A plant-derived retinol alternative from babchi seeds. Has similar gene-expression activity to retinol for anti-aging without photosensitivity or the irritation of retinoids. Very well-tolerated even by reactive skin — a preferred retinol alternative for sensitive skin.
aae66c23-466e-48b7-b18a-cbd92b665ade,Bambusa Vulgaris Extract,Bamboo extract — contains silica and antioxidants. Conditioning. Well-tolerated.
9e3bff57-9d1d-4f80-85c9-ec2af1b667b1,Bambusa Vulgaris Leaf /Stem Extract,Bamboo leaf/stem extract — antioxidant and conditioning. Well-tolerated.
82c23e3f-a88c-4988-a6bd-a07a1bbfb6b3,Behentrimonium Methosulfate,"A conditioning emulsifier — despite its name, not an irritating quaternary ammonium compound but a fatty-chain emulsifier commonly used in hair and skin creams. Reduces irritation in formulas and improves spreadability. Well-tolerated."
4371e286-a116-4d47-8c01-473b7a4cc61b,Behenyl Alcohol,"A C22 fatty alcohol used as an emollient and thickener in creams and lotions. Behaves like other fatty alcohols (cetyl, stearyl) — very gentle, non-sensitizing, and skin-compatible."
d8401bd7-d42c-41cf-bba8-7bb39bbb1957,Bentonite,A natural clay mineral used as an absorbent and thickener in masks and makeup. Inert; not a sensitizer.
970ddca9-6eb1-47dd-89ed-042755b172e0,Benzoic Acid,"A preservative used in food and cosmetics — effective against yeast and bacteria. Becomes sodium benzoate in aqueous formulas. At typical cosmetic preservative concentrations it's not a practical concern. The EU requires disclosure as a fragrance allergen at higher concentrations in leave-on products, but those levels are well above what's used as a preservative."
2c01954f-434e-4330-82fc-caaa7608f243,Bertholletia Excelsa Seed Oil,"Brazil nut oil — rich in oleic acid and selenium, with a light to medium skin feel. Emollient and nourishing. Well-tolerated; not a typical sensitizer, though tree nut allergies (rarely topical) apply to highly allergic individuals."
c0efd2bf-b281-4076-b12c-5fada18caa4a,Beta-Carotene,A carotenoid antioxidant and natural orange-yellow pigment. Converted to Vitamin A in the body when ingested; topically functions as an antioxidant. Well-tolerated.
1b0cd633-b781-4fc6-858a-af79b7c56ecf,Beta-Glucan,"A polysaccharide derived from oat, mushroom, or yeast that functions as a humectant and soothing active. Has documented wound-healing and immune-modulating properties in skin. Particularly well-suited for reactive or compromised skin; not a sensitizer."
145415b9-01d5-4ace-bfda-5486439e9253,Beta-Sitosterol,A plant sterol that supports barrier repair and has mild anti-inflammatory properties. Skin-compatible; well-tolerated.
0e27cd57-6be1-41b0-a8d7-efeca5ae04c4,Betaine,"A naturally-derived osmolyte from sugar beets. Hydrates, soothes, and is exceptionally well-tolerated."
75ed5016-c12f-4ac2-babe-9a14c4e90196,Betula Alba Juice,Birch tree sap — a hydrating botanical water with mineral content. Well-tolerated.
93f72683-44c9-4cf4-a69a-2d7cc61bafca,Betula Platyphylla Japonica Juice,"Birch tree sap — a lightweight, mineral-rich hydrating ingredient. Well-tolerated."
8220bb40-df26-48b8-9cf3-1576e04dbeab,BHA,Butylated hydroxyanisole — a synthetic antioxidant used to prevent rancidity in formula oils. Used at trace concentrations (<0.1%). Not a practical sensitization concern at these levels.
d401689b-3d8a-4db6-b8b4-ff3744077de1,BHT,Butylated hydroxytoluene — a synthetic antioxidant used in cosmetics and food to prevent oxidative rancidity in formulas. Used at very low concentrations (typically <0.1%). Not a practical sensitization concern at these levels.
47439971-72ae-472b-b2e8-4d9399cd108b,Bioactive 8 Berry Complex*,A proprietary berry extract blend. Individual berry extracts are generally well-tolerated antioxidants.
c89f7b91-8461-4a97-a13d-8a6121fde042,Biosaccharide Gum-1,A biofermented polysaccharide used as a film former and humectant with documented soothing activity. Often used in formulas targeting reactive skin. Very well-tolerated.
ae38a487-13e9-4e35-ab43-f43be9b5ab7a,Bis-Capryloyloxypalmitamido Isopropanol,A synthetic lipid used in barrier-repair formulas. Well-tolerated.
8ba2a0da-1031-421c-8bbf-45c9739a641c,Bis-Diglyceryl Polyacyladipate-2,"A polyester emollient used as a lightweight, non-greasy emollient in lip products and foundations. Well-tolerated; not a sensitizer."
3ad6946f-4b65-42a7-9ba9-467d54674539,Bis-PEG-18 Methyl Ether Dimethyl Silane,A silicone-PEG emulsifier used to create water-in-silicone or silicone-in-water formulas. Well-tolerated.
97bbbc59-3b7d-4362-b25b-ad33dfe9bb1a,Bis-PEG/PPG-14/14 Dimethicone,A silicone-PEG/PPG copolymer used in water-in-silicone emulsions. Well-tolerated.
c6d30b77-0031-4e18-9c9d-19a63763c536,Bisabolol,A naturally occurring alcohol from chamomile (or synthesized for stability) that's a classic anti-irritant and skin-soother. You'll often see it deliberately added to formulas alongside active ingredients to buffer their irritation potential. Very well-tolerated — a genuinely useful ingredient for reactive skin.
854f37eb-31fc-4001-b2b2-eaf77a574ebc,Bixa Orellana Seed Oil,Annatto seed oil — contains tocotrienols and bixin with antioxidant properties. Well-tolerated.
687b4582-0d83-4124-bd16-22585993ea6d,Blueberry Extract,Blueberry fruit extract — rich in anthocyanins with antioxidant properties. Well-tolerated.
be30f079-a713-48be-99e7-717332018b23,Borago Officinalis Seed Oil,Borage seed oil — highest natural plant source of GLA (gamma-linolenic acid). GLA supports barrier repair in eczema-prone and reactive skin. Well-tolerated.
146f30a0-08d6-488a-b9d0-9a133f0596a0,Borago Officinalis Seed Oil*,Borage seed oil — very high in GLA. Excellent for reactive and eczema-prone skin.
bbb4e4b0-97ce-4179-abc5-e69ff7393422,Boron Nitride,"A synthetic mineral powder used in makeup to create a soft-focus, silk-like skin feel and reduce shine. Inert and non-sensitizing; not absorbed into skin."
eb282022-eb58-4a20-8509-d3fe93a73ca2,Butyl Avocadate,"An ester derived from avocado oil fatty acids, used as a lightweight emollient and skin conditioner. Significantly lighter and less occlusive than raw avocado oil. Well-tolerated and not a known sensitizer."
bb9e86ca-5e48-499c-b7c6-c6776668aaa2,Butylene Glycol,A very common humectant and solvent that draws moisture to the skin and improves texture. Also functions as a mild antimicrobial at higher concentrations. Extremely well-tolerated — one of the most universally used cosmetic ingredients. No sensitization concerns.
bd5ec338-2849-47e2-b68b-cd7042b860e0,Butylene ­Glycol,A common humectant and solvent. Very well-tolerated.
9ec0396f-24cf-491c-a775-9255ac2c3860,Butyloctyl Salicylate,An ester of salicylic acid used as an emollient — fully esterified so it has no exfoliating activity. Not a sensitizer.
8facf47e-1403-4e0e-a777-a3c0b5c1a0b2,Butyrospermum ­Parkii ­Butter,Shea butter — a rich emollient from the shea tree. Excellent barrier support for dry or reactive skin. Very well-tolerated.
e945f0ec-dd70-4355-a96c-a7cdcfeb7bbe,C10-30 Alkyl Acrylate Crosspolymer,"A synthetic polymer used as a thickener and emulsifier — gives formulas that lightweight, slightly watery-gel texture common in modern lotions. Performs better than carbomer in formulas with electrolytes (zinc, sodium chloride, etc.). Not a sensitizer; purely a texture ingredient."
8a4e5116-7706-48f5-8482-f76398b72cac,C12-14 Pareth-12,A PEG-based nonionic surfactant and emulsifier. Well-tolerated.
067c013d-80c6-4975-8b80-7f692726b0a4,C12-15 Alkyl Benzoate,"A lightweight, dry-touch emollient ester. Spreads easily and leaves minimal residue. Well-tolerated; low comedogenicity."
874e8608-4370-431e-8ab4-c82766b599d4,C12-16 Alcohols,A blend of fatty alcohols (lauryl to cetyl). Emollient and emulsion stabilizer. Well-tolerated.
2d81e2c8-098e-4d68-a132-8a46d6917902,C12-20 Alkyl Glucoside,"A sugar-based mild surfactant. Well-tolerated, commonly used in gentle cleansers."
d9af85f2-f488-470c-b977-69f90f0e00ba,C12-22 Alkyl Acrylate/Hydroxyethylacrylate Copolymer,A film-forming polymer used in long-wear makeup. Inert; not a sensitizer.
f8d528c1-6e87-432e-8134-bceebe71b81d,C13-15 Alkane,"A synthetic hydrocarbon emollient — lightweight, odorless, and highly skin-compatible. Essentially a cleaner, more precisely defined alternative to mineral oil. Absorbs well, leaves a dry skin feel, and is not a sensitizer. An increasingly popular silicone alternative for lightweight formulas."
f4f431de-7a4b-4a53-81d5-310470d22a10,C14-22 Alcohols,A blend of fatty alcohols (myristyl to behenyl). Emollient and emulsion stabilizer. Well-tolerated.
f0e7f76b-d1bd-4ce9-92e5-f812cf58d785,Caffeine,"Topical caffeine used for its antioxidant properties and mild vasoconstrictive effect, which may reduce puffiness in eye products. Well-tolerated; not a sensitizer. The stimulant effect does not translate to topical application."
76f54b84-5b5d-4a30-ac4e-4bdec48a47b4,Calamine,"A zinc oxide and ferric oxide mixture. Classic soothing and anti-itch agent. Well-tolerated, particularly gentle for sensitive skin."
e73c9403-6cd2-4fef-a848-e8944fde9eb1,Calcite,Calcium carbonate in crystalline form — used as a white pigment and mild abrasive. Inert; not a sensitizer.
7015973b-75f8-4646-b86c-d630e8e1985f,Calcium Gluconate,A calcium salt used as a skin conditioner and to support barrier function. Well-tolerated.
4c232d13-ff86-4ce6-8ea3-38eba8948158,Calcium Sodium Borosilicate,Synthetic glass-based shimmer pigment used in makeup. Inert; not a sensitizer.
58388f8e-74d1-478e-9683-de26e5018606,Calendula Officinalis Flower Extract,Calendula extract — well-documented anti-inflammatory and wound-healing properties. Among the most trusted botanical actives for reactive skin.
a852254f-81b4-4613-9f21-d4d9127bf8a1,Camellia Japonica Flower Extract,Japanese camellia flower extract — antioxidant and conditioning. Well-tolerated.
20ef16b0-2008-4241-8c9b-5273ca667881,Camellia Japonica Seed Oil,"Camellia seed oil — rich in oleic acid with a lightweight, non-greasy feel. Traditionally used in Japanese skincare. Well-tolerated."
b453c433-eea8-48e8-91e8-feb9d816aeb9,Camellia Sinensis Leaf Extract,"Green tea extract, rich in antioxidants (especially EGCG) that protect against free radical damage and reduce inflammation. It has solid evidence behind it as a calming and protective ingredient with very low irritation potential — one of the safer actives to look for in formulas for reactive skin."
85e495a7-3e68-4c1d-b5fc-a6b0727e1c90,Camellia Sinensis Leaf Powder,Finely ground green tea leaf powder — provides antioxidant activity and a gentle exfoliating texture. Well-tolerated.
cca8cefe-8826-4f17-b5b8-727c0f621864,Canadian Colloidal Clay,A Canadian clay mineral used as an absorbent in masks. Inert; not a sensitizer.
08730b5a-786a-4929-981e-05e61b794dcc,Candida Bombicola/Glucose/Methyl Rapeseedate Ferment,A yeast ferment that produces sophorolipids — naturally-derived biosurfactants. Gentle and well-tolerated.
c38ea86c-2787-4c1d-8444-7e54c92c4ed4,Caprylhydroxamic Acid,A chelating preservative derived from caprylic acid. Gentle and effective as part of a broad-spectrum preservation system. Well-tolerated.
9127aaa0-1f07-4f2f-a435-4ed8dbe66cbb,Caprylic/Capric Glycerides,Partial glycerides of caprylic and capric acids — similar to caprylic/capric triglyceride. Lightweight emollient. Well-tolerated.
01f20e90-5060-4dd6-96e5-cdcf135d45be,Caprylic/Capric Triglyceride,"A lightweight emollient derived from coconut oil — essentially a purified, odorless coconut oil fraction (caprylic and capric fatty acids only) that absorbs quickly and leaves no residue. One of the most universally well-tolerated emollients in cosmetics. Non-comedogenic, shelf-stable, and appropriate for reactive skin."
fe1c3074-d43c-4d6e-bbd7-e04ab5101eae,Capryloyl Glycine,An amino acid-based surfactant with mild antimicrobial properties. Gentle and well-tolerated.
83d1ff7a-638a-4cc9-a960-81a19b91daee,Caprylyl Glycol,"A humectant and mild antimicrobial booster — typically paired with phenoxyethanol to enhance preservation efficacy at lower overall preservative concentrations. Draws moisture to the skin surface and gives formulas a soft, emollient feel. Very well-tolerated; not a known sensitizer."
ecc43171-81ce-40f8-bf15-d0cd21a16d25,Caprylyl Methicone,A silicone-hydrocarbon hybrid that reduces greasiness in oil-phase formulas and improves the skin feel of sunscreens and makeup. Non-sensitizing.
70c244c2-b5ee-4a3f-9a0d-88ab5d0ff9e4,Caprylyl/Capryl Glucoside,A gentle plant-derived glucoside surfactant. Very mild; suitable for sensitive skin.
31a740a0-d9c6-4e5d-9313-2699f4f68634,Caramel,Caramelized sugar used as a natural brown colorant in cosmetics. Inert; not a sensitizer.
1e6b6d06-c761-42d9-b7ca-a3703bf87fd3,Carbomer,A synthetic polymer (polyacrylic acid) used to thicken formulas and create gel textures. Needs to be neutralized with an alkali (sodium hydroxide) to function. Very well-tolerated — carbomer itself is not a sensitizer; reactions to carbomer-thickened formulas typically trace back to other ingredients.
2a028794-2b31-4498-93aa-ac5fce7a5e76,Carica Papaya Fruit Extract,Papaya extract — contains papain enzyme with mild exfoliating properties and antioxidants. At extract concentrations the enzymatic activity is minimal. Well-tolerated.
eb9a71d2-163f-4d5f-a852-fab81166ca25,Carnitine,An amino acid derivative involved in fatty acid metabolism. Used in cosmetics for conditioning. Well-tolerated.
1e158b45-7672-41d3-9866-26852f4f8f8e,Carthamus Tinctorius Seed Oil,"Safflower oil — very high linoleic acid content, making it excellent for reactive, barrier-compromised skin. Light texture. Well-tolerated."
